Seller	No. of times it competes for buybox	No. of times it wins the buybox
ARNAV BOOKS (INDIA)	3	0
ds distributors	3	0
P.BOOK AGENCY	2	0
Shivalaya Innovative Co.	1	0
vishwam books	4	0
TBC books	1	0
Prime Book House	4	0
Book Wise	20	0
truncate_books	6	0
Monika Books House	3	0
KUNDAN BOOK DISTRIBUTORS	3	0
BT BOOK	5	0
The Best Book Store	24	0
BookWorld99.	0	2
Book Bank Store	3	0
book deal	2	0
Tuk Tuk Books.	2	0
Rakesh1983	1	0
Mittal Books	6	0
Commercial House (Mumbai)	13	0
AMAZING BOOKS WORLDWIDE	9	0
Srinivasa Grandhalay	3	0
Timeless Art Book Studio	10	2
CB-India	0	2
Chetan Enterprises	7	2
D'Flora	2	0
Shubham Sahitya	4	0
Maharashtra Book Agency	3	0
Pustak Peth, Nashik	2	0
Ksagar Book Centre	5	0
RASIK SAHITYA PVT LTD	1	0
NEW SARASWATI GRANTH BHANDAR	4	0
Books And Periodicals	4	0
MAPLE PRESS PVT LTD	2	0
KSM Book Shop	2	0
Siddhivinayak Distributors	2	0
Books Carnival	4	0
All India Books	11	0
Bhomiya Books	2	0
Linqstore	1	0
Maa Lalitha Book Store	4	0
TheAuthorsLibrary	1	0
Pioneer Books	3	0
INDIES	1	1
Old Book Den	8	1
ManagementBooks	3	0
booksuniversal	4	0
Aspire Traders	1	0
PFS_Store	4	0
DRPNbooks	5	0
bhole sai	3	2
shri krishna books	2	0
Sai Book House	5	0
PHI Learning	12	0
KPS BOOKS WORLD	3	0
Indian Professional Library.	0	3
IMPORT-STORE	1	0
osho mevlana meditation centre	1	0
Tagon (9599017181)	3	0
SUDHA BOOKS	13	0
Epitome Books	4	0
Laxman & Son's	1	0
Mirza Azharuddin	23	0
Batheja Super Store	2	0
Roshan BOOKS	2	0
CBH Online..	1	0
shiv book distributors	1	0
Kakkar stores	1	0
Wisdom Tree Direct	7	1
RKBOOKSHOP	5	0
Sultan Chand and Sons,Since 1950	6	1
Sri Padmavathi Publications	9	0
Astha Prakashan ( 8130912375 )	8	0
PrimeBuy	5	0
the bukman	2	0
ABH STORE	1	0
Q4 International	2	0
SANSKRUTI BOOK HOUSE	2	0
Aayush Book Store	3	0
anshu gang	4	1
Rosri Traders	4	1
The Bookies	2	0
BooksXpert	10	2
ASR GROUP	3	0
Vah trading	5	0
As Books	2	0
PrathamVir Book Store	9	4
KRISHNA BOOK STORE GOURAV	1	0
SK Book HUb	3	0
M K Book Center	9	0
I M Book Center	1	0
Jain Book House	4	0
UniversalBook Store	6	0
Kum kum book store	1	0
The Arif book store	1	0
Shri Vaishno Books	1	0
CFM TRADERS	8	3
Books_mart	2	0
A&P Solutions	3	0
BOOKBELLA	11	0
USAGoods	1	0
SVBC	6	0
STUDENT BOOK STALL V.V.NAGAR	33	0
BOOK LOVER'S	6	0
COMPUTERSCIENCE ENGINEERING BOOKS	4	0
Shopbyheart	9	0
SHIVSTATIONERS	1	0
PADMA BOOK HOUSE	21	0
TULSI BOOKS	1	0
Think beyond limit	2	0
Sonam Enterprise	1	0
Bazzar 24 hour	1	0
MKKSHOPPY	1	0
NIZAM BOOKS	9	0
Books Fair	4	1
Tbcdelhi	11	0
PUSTKAM	11	0
Rainforest Books	6	0
Vishal Books	6	2
skhan123	4	0
G. G.	16	2
Dhruv Book	1	0
super book distributors	6	0
M.M. Mukhi & Sons	7	5
SUMSAC INTERNATIONAL, NEW DELHI	1	0
YABK	4	0
NBk	4	0
UDAIPUR STORE	1	0
THE SAMPADA'S	3	0
Sanskar Collections	2	0
JKB Books&Products	3	0
hooked2books	5	0
Hari Darshan Book Depot	1	0
BOOKS E-STORE 4U	1	0
sunnvik books	1	0
Zamzam Book stall	1	0
eshan_09	1	0
Hasnain Books	1	0
MASTERMINDBOOKS	1	0
AR Enterprises	5	0
new friends book house co.	1	0
Book zone, india	1	0
pukale	1	0
ankit Books	1	0
ModernBooks	7	0
New zen group	1	0
sdjahanabad	3	0
Books-Haat	7	0
Door Delivery	1	0
Giri Trading Agency Private Limited	3	0
ChessBase India	4	3
Milestone...	4	1
ALTBOOKS	14	0
Shopee Book House	3	0
Shopee Book House.	0	1
ANURAG ENTERPRISES	2	0
DELHI PAC	1	0
bowmanenterprises	1	0
EVERY BOOK SUPPLIERS	3	0
Books and more....	2	0
MSB Book Store	3	0
BookPlazza	2	0
Raaj Book Point	4	0
Narang's Books	1	0
ReadMee	2	0
Vineet's Books	3	0
BOOKZEAL	7	0
Jain News Stand	1	0
Times Group Books	2	0
Indian Book Lovers	3	1
SUKLA ENTERPRISE	3	0
Patrika Book Centre	0	3
FRESH ENTERPRISE	1	0
books at door	1	0
BOOKS DEKHO BOOKS	1	0
VAK, the Spiritual Book Shop	3	0
LB-INDIA	2	0
Prabhu book shop	3	0
UBSPM	1	0
PRIORITY BOOKS	1	0
Aggarwal Books India	3	0
Choice is Yours	5	0
GangaGya Competition Book House	3	0
BOOKS WALA	1	0
Archives Books	1	0
united Books India	3	0
{PBD} POTDAR BOOK DISTRIBUTORS	3	0
KITAB MAHAL	1	0
Sneha and company	1	0
book paradise store	2	0
Asian booksellers	3	0
Siddi Vinayaka (SV) Enterprises	8	0
Kite Book Shop	2	0
AH Book Centre	2	1
Das Library	1	0
Begum MK Store	1	0
Alekip Tradelink	4	0
Sai Balaji Associates	4	0
ADINATH BOOK SALES	2	0
Doonmac	6	0
Simandhar Corporation	1	0
Shop Livres	1	0
7A Book Hub	1	0
JAYAM STORES	1	0
MA Book Store	2	0
MA Book Store.	0	2
A1 Books	3	1
Book Alley	1	0
ONLINE BOOK MART	3	0
ONLINE BOOK MART.	0	2
KRISHANAMURTI FOUNDATION INDIA	1	1
star Book House Hyd	11	0
Alhaan Enterprises	1	0
Million Store	2	0
Amazingly buy	1	0
Bookish Book Seva	5	1
OMSUL PUBLISHERS INDIA	3	0
STORY	1	0
EVERGREEN USED BOOKS	4	0
Amazingly buy.	0	1
International School Books	1	0
Sohum WorldWide	1	0
Read ALL India	5	0
Rajkesar books hub	15	1
A Paragraph Books Store	3	0
India Book Bazaar	3	0
Amazon.	0	2
JOSHI BOOKS	2	0
Read ALL India.	0	1
Laxmi books co	2	0
Krupajala Agencies	1	0
bharath-A2JUYUQKB3K4XQ	1	0
Nikkamme	1	0
Laxmibooks	1	0
localhost24x7	1	0
EXPLORE BOOKS	3	0
The_Book_Basement	3	0
Bippen Sales	6	0
SUPREMEBOOKS	10	1
AAYU BOOK CENTRE	2	0
Sunrys	1	0
Dial For Books	2	0
Sobnur Enterprise	1	0
VARTIKAPUB	2	0
Books4everyone	2	0
Start Learning	1	0
Panchsheel Books	2	0
Yogita Marketing(Publishers & Distributors)	1	0
FLAG UP INDIA	1	0
PALSANIYA BOOK	1	0
#SAVI BOOKS	1	0
U B Service	3	0
Anant Publications	2	0
BOOKS LAND	1	0
BALAJEE BOOK DISTRIBUTORS	5	0
Harsha Enterprses	3	0
eBazaar	1	0
READERS HUB	2	0
EnteBook	1	0
TANU1410	2	0
	0	4
Famous bookshop	4	0
Book_loot	8	1
KBP House	4	1
Taran Technologies	2	1
Book Club Of India	1	0
Continental books	1	1
HimalayanStore	1	0
Sahitya Mandir	2	0
bjaindotcom	1	0
Re-Commerce	4	0
SPECTRALE	6	0
Dipa Books	3	0
R.CHANRDAN	2	0
YOGA PLUS	1	0
GOLD BOOK HOUSE	5	0
LANDMARK CO..	2	0
GURJAR BOOKS	1	0
PCBOOKS	3	0
DaryaGanjBooks	5	0
Booksstore1	4	0
Allfyn	1	0
weblibox	1	0
Saneer Books	1	0
The_Multimedia_Shop	6	0
Itail	1	1
GOODWILL PUBLISHING HOUSE	3	0
kabdwalbookdotcom	5	0
PRAKASH BOOK BBSR	1	0
AL Falah Books Trading	3	0
BOOK CLUB.	2	2
ORIENTAL ACADEMY OF ARTS & LETTERS	2	0
shree simandhar group	1	0
Gorakh Books	1	0
A New Chapter.	1	0
BooksPlanet	1	0
Shiva Books Hub	3	0
Shri Krishna book’s	6	0
Syam Associates	4	0
Shriya Traders	1	1
RRR SALES	6	1
Book.Mart	2	0
Shree Pustak Mandir	13	0
BOOKPRATHA	1	0
Books For You (Ahmedabad)	1	0
R. R. Sheth & Co. Pvt. Ltd.	1	0
Friend Books Tree	3	0
CMYK Book Store	1	0
Madhav Bhagel	2	0
Potts Point	2	0
Rinset	2	0
Goraul	2	0
fighting ignorance	2	0
Sololane	2	0
Nikhil Garg Enterprises	2	0
Shipli Thakur and Sons	2	0
Shanti Super Store	2	0
Nitika Joshi and Sons	2	0
AtelieR	1	0
Parth Agnihotri Enterpises	1	0
Gravelex	1	0
Prince Universal Stores	1	0
Yash Chaudhari	1	0
Maze Cyber World	1	0
Second Story Book	1	0
SHREEHANI	1	0
Psytip	1	0
Inchcane	1	0
Apna Stores	1	0
Rumpes	1	0
Canholding	1	0
Lucky StoreS	1	0
Deepak Gudetti Enterprises	1	0
Rishi Khurana Stores	1	0
Mahavira Jain stores	1	0
Sumit Saxena Shopping Center	1	0
Canplus	1	0
Sahil Rakkar Value Store	1	0
Newlatice	1	0
Rijkaardo	1	0
Hans prakashan	1	0
We sell book online for best price	1	0
ADITYA BOOKS PVT. LTD.	2	0
W0RLDVIEW	1	1
MNSP	2	0
Star Books.	4	0
EXPLORE BOOKS.	0	2
Divya arts store	1	0
MP bookstore	1	0
DDS RETAIL	1	0
JB_Books	1	0
Ankit tomar enterprises	1	0
INbuyers	1	0
Avantika Book Zone.	0	1
OCEAN BOOKS	3	0
sellerquick	1	0
ADEO-SHOP	4	0
Sharma Book house	1	0
independent book exhibition	3	0
